ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
2017-En-41474,@GrimsToyShow @hunna_chunna you got hacked on your gaming channel grim by evil wood clowns yesterday September 20 and September 21 today,True,False,True,False,False,False,False,False,False,False,False
2017-En-30357,"Accept the challenges, So that you may feel the exhilaration of victory.\n\nTOMIHO IpaglabanMo TapingDay2",False,False,False,False,True,False,True,False,False,False,False
2017-En-10291,#Anger or #wrath is an intense emotional response.,True,False,False,False,False,False,False,False,False,False,False
2017-En-40662,i wonder how a guy can broke his penis while having sex? #serious,False,False,False,False,False,False,False,False,False,True,False
2017-En-30557,@footballmcd agreed. Memphis looks lively also,False,False,False,False,True,False,True,False,False,False,False
2017-En-21562,@drunkafzayn @vogueszap yes it's shocking how islamophobic Indias are considering how many Muslims live there,True,False,True,False,False,False,False,False,False,True,False
2017-En-10292,@TaraSetmayer @oliverdarcy AA have the right of passage when it comes to the 'N' word.  Why should he insult him in his church.  Ignorant!,True,False,True,False,False,False,False,False,False,False,False
2017-En-20701,"@sandym709  regardless, lets say he has a permit. The permit doesn't excuse or allow him to threaten an officer(expressed or implied)w/ it.",True,False,True,True,False,False,False,False,False,False,False
2017-En-11596,"@Uncle_Brown22 yeah dude! Appreciate the #support! #Notorious on ABC, peep it! #grateful #relentless",False,False,False,False,True,False,True,False,False,False,False
2017-En-10286,"@AllegedLowbrow It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A follows",True,False,True,False,False,False,True,False,False,False,True
2017-En-31127,@RayGemini I've got 8 coming back this week. It's so joyous isn't it haha,False,False,False,False,True,True,True,False,False,False,False
2017-En-11003,@ReadingFC @EFLCup - remind them 'Twenty's Plenty' !,False,False,False,False,True,False,True,False,False,False,False
2017-En-41278,Interesting topic this evening...  sadness &amp; low mood. #MHChat,False,False,False,False,False,False,False,False,True,False,False
2017-En-30931,@APkrawczynski   Any possibly KG is being bought out as a player so that he can buy in from Glen as a minority owner?  #optimism,False,False,False,False,True,False,True,False,False,False,False
2017-En-21722,"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't #awful",True,False,True,False,False,False,False,False,True,False,False
2017-En-20108,I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows. #fear #fashion,False,False,False,True,False,False,False,True,True,False,False
2017-En-41292,Maybe I can sleep with my chem book on my head and it will all sink in my brain,False,False,False,False,False,False,False,True,False,False,False
2017-En-31466,Vincent looking super lively boy... Hattrick perhaps lol,False,False,False,False,True,False,False,False,False,False,False
2017-En-30150,"And by the way, Takeru's eyes sparkling while eating was like the cutest thing ever.",False,False,False,False,True,True,True,False,False,False,True
2017-En-20523,@Budget  car rental you have made realize why I always use @nationalcares!!!!  What a !! #disgusted,True,False,True,False,False,False,False,False,True,False,False
2017-En-11570,Blood is boiling,True,False,True,False,False,False,False,False,False,False,False
2017-En-10268,"im on holiday for the next round, fuming!",True,False,False,False,False,False,False,False,False,False,False
2017-En-10584,"Seeing #RIPShawtyLo got me thinking bout other rappers then I thought about @LilTunechi dying, and burst into tears... Smh",False,False,False,False,False,False,False,True,True,False,False
2017-En-20425,can't believe Mint fest is two days away and i hate my outfit 😩😩🙈 ,True,False,True,False,False,False,False,False,True,False,False
2017-En-31514,Literally dying &amp; living at the same time as I catch up on @adrian_ver 's twitter. If you aren't following him your life is BASIC. ,False,False,False,False,True,False,True,False,False,False,False
2017-En-22120,@MSNBC @fox @cnn @realDonaldTrump @HillaryClinton. Using fear to state his views. Not getting the facts before making a serious statement???,True,False,True,True,False,False,False,True,False,False,False
2017-En-20927,To com sede de milk shake,False,False,False,False,False,False,False,False,False,False,False
2017-En-31037,Could not be happier!! ,False,False,False,False,True,False,False,False,True,False,False
2017-En-10734,Anger is cheap and politeness is expensive. Don't expect everybody to be polite. #ThoughtfulThursday  #politeness,False,False,False,False,False,False,True,False,False,False,False
2017-En-11513,bows are world of tank creats rubberbath sting weeks of,False,False,False,False,False,False,False,False,False,False,False
2017-En-21342,@kohara19 It's a rare land octopus. Be very afraid.,False,False,False,True,False,False,False,False,False,False,False
2017-En-41041,Sigh. I got a B- .. #depressing,False,False,False,False,False,False,False,False,True,False,False
2017-En-11468,@AdamSinger bubble implies it will burst?,False,False,False,False,False,False,False,False,True,True,False
